## RunInfo	version:1.2.0-a	annotated_features:27812	total_fragments:2717	pair_mapped:0	pair_mixed:0	single_mapped:2717	unmapped:0	unique:854	ambig:1863	overlap_unique:883	overlap_ambig:1834
transcript	transcript_length	final_prop	init_prop
MER4_12p12.1	6656	0.0	0.0
L1FLnI_12p12.1j	10146	0.0	0.0
ERVLE_12p12.1c	1136	0.0	0.0
ERVLB4_12p12.1c	685	0.0	0.0
L1FLnI_12p12.3y	10159	0.0	0.0
HERVL40_12p12.1a	2045	0.0	0.0
ERVLE_12p12.1b	890	0.0	0.0
L1FLnI_12p12.1u	10166	0.0	0.0
L1FLnI_12p12.1t	10015	0.0	0.0
ERVLB4_12p12.1b	2006	0.0	0.0
ERV316A3_12p12.1a	2411	0.0	0.0
PABLA_12p12.1	2339	0.0	0.0
L1FLnI_12p12.1o	9091	0.0	0.0
MER41_12p12.1a	1816	0.0	0.0
ERVLB4_12p12.1a	1188	0.0	0.0
L1FLnI_12p12.1s	10516	0.0	0.0
MER34B_12p12.1	1764	0.0	0.0
L1FLnI_12p12.1k	8700	0.0	0.0
L1FLnI_12p12.1l	10016	0.0	0.0
L1FLnI_12p12.1m	10041	0.0	0.0
L1FLnI_12p12.1q	10075	0.0	0.0
L1FLnI_12p12.1p	10456	0.0	0.0
L1FLnI_12p12.1n	10525	0.0	0.0
L1FLnI_12p12.1r	10088	0.0	0.0
L1FLnI_12p12.1c	10121	0.0	0.0
L1FLnI_12p12.1i	10087	0.0	0.0
L1FLnI_12p12.3ga	8540	0.0	0.0
L1FLnI_12p12.2e	10023	0.0	0.0
L1FLnI_12p12.2d	10035	0.0	0.0
ERVLE_12p12.2	576	0.0	0.0
L1FLnI_12p12.2c	10252	0.0	0.0
ERV316A3_12p12.2b	1118	0.0	0.0
ERV316A3_12p12.2a	689	0.0	0.0
HUERSP2_12p12.2	521	0.0	0.0
L1FLnI_12p12.2b	9126	0.0	0.0
L1FLnI_12p12.2a	10383	0.0	0.0
L1FLnI_12p12.3fa	10141	0.0	0.0
L1FLnI_12p12.2f	10042	0.0	0.0
L1FLnI_12p12.3ea	10154	0.0	0.0
L1FLnI_12p12.3da	10682	0.0	0.0
ERV316A3_12p12.3f	3720	0.0	0.0
L1FLnI_12p12.3ca	9335	0.0	0.0
L1FLnI_12p12.3ba	10864	0.0	0.0
ERVLE_12p12.3i	2502	0.0	0.0
L1FLnI_12p12.3aa	10411	0.0	0.0
ERVLE_12p12.3h	2166	0.0	0.0
L1FLnI_12p12.3z	8615	0.0	0.0
HERVH_12p12.2a	6146	0.0	0.0
HERVH_12p12.2b	4705	0.0	0.0
L1FLnI_12p12.1h	10447	0.0	0.0
L1FLnI_12p12.1b	10026	0.0	0.0
L1FLnI_12p12.1g	8910	0.0	0.0
L1FLnI_12p12.1f	9629	0.0	0.0
HERVL_12p12.1a	4210	0.0	0.0
ERVLE_12p12.1a	5777	0.0	0.0
L1FLnI_12p12.1e	10018	0.0	0.0
L1FLnI_12p12.1d	10029	0.0	0.0
ERV316A3_12p12.3e	1697	0.0	0.0
MER4B_12p12.1b	3379	0.0	0.0
MER4B_12p12.1a	3374	0.0	0.0
L1FLnI_12p12.1a	10150	0.0	0.0
MER4_12p12.2a	6836	0.0	0.0
L1FLnI_12p12.2j	8813	0.0	0.0
L1FLnI_12p12.2i	10046	0.0	0.0
L1FLnI_12p12.2h	10260	0.0	0.0
MER4_12p12.2c	814	0.0	0.0
LTR57_12p12.2	591	0.0	0.0
MER4_12p12.2b	3929	0.0	0.0
L1FLnI_12p12.2g	9356	0.0	0.0
HUERSP3_12p12.2	5716	0.0	0.0
HARLEQUIN_12p12.2	7304	0.0	0.0
HUERSP1_12p12.1	3023	0.0	0.0
L1FLnI_12p12.1ba	8662	0.0	0.0
L1FLnI_12p12.1v	10413	0.0	0.0
ERVLE_12p11.21b	1519	0.0	0.0
HERVFH19_12p11.21	2636	0.0	0.0
ERVLE_12p11.21a	772	0.0	0.0
MER41_12p11.21	4239	0.0	0.0
HERVL40_12p11.21	1174	0.0	0.0
PRIMA41_12p11.21	2208	0.0	0.0
L1FLnI_12p11.21d	10138	0.0	0.0
PRIMA4_12p11.21b	3545	0.0	0.0
PRIMA4_12p11.21a	2098	0.0	0.0
L1FLnI_12p11.21c	10019	0.0	0.0
PABLB_12p11.21	2071	0.0	0.0
HML6_12p11.21	1228	0.0	0.0
L1FLnI_12p11.21b	9526	0.0	0.0
HUERSP3_12p11.21	5243	0.0	0.0
MER4_12p11.21	6702	0.0	0.0
L1FLnI_12p11.21a	10157	0.0	0.0
HUERSP1_12p11.22	6428	0.0	0.0
ERVLE_12p11.22e	1533	0.0	0.0
ERVLB4_12p11.22d	3550	0.0	0.0
L1FLnI_12p11.22m	8632	0.0	0.0
ERV316A3_12p11.22d	2491	0.0	0.0
ERV316A3_12p11.22c	4274	0.0	0.0
HERVH_12p11.22b	6433	0.0	0.0
HERVL_12p11.22	2727	0.0	0.0
HERV4_12p11.21	6215	0.0	0.0
HERVIP10FH_12p11.21	2232	0.0	0.0
L1FLnI_12p11.22k	10157	0.0	0.0
L1FLnI_12p11.21e	9675	0.0	0.0
L1FLnI_12p11.1m	10023	0.0	0.0
L1FLnI_12p11.1l	10111	0.0	0.0
L1FLnI_12p11.1k	10100	0.0	0.0
L1FLnI_12p11.1j	10018	0.0	0.0
L1FLnI_12p11.1i	10435	0.0	0.0
L1FLnI_12p11.1h	10147	0.0	0.0
L1FLnI_12p11.1g	9565	0.0	0.0
MER34B_12p11.1b	929	0.0	0.0
MER34B_12p11.1a	1881	0.0	0.0
HERVL40_12p11.1	1814	0.0	0.0
L1FLnI_12p11.1f	10094	0.0	0.0
L1FLnI_12p11.1e	10428	0.0	0.0
L1FLnI_12p11.1d	9950	0.0	0.0
L1FLnI_12p11.1c	9943	0.0	0.0
ERVLE_12p11.1	1347	0.0	0.0
L1FLnI_12p11.1b	10149	0.0	0.0
L1FLnI_12p11.1a	10460	0.0	0.0
L1FLnI_12p11.21j	8919	0.0	0.0
L1FLnI_12p11.21i	10144	0.0	0.0
L1FLnI_12p11.21h	10174	0.0	0.0
HERVH_12p11.21	3006	0.0	0.0
L1FLnI_12p11.21g	9421	0.0	0.0
L1FLnI_12p11.21f	10177	0.0	0.0
L1FLnI_12p11.22l	10126	0.0	0.0
ERVLE_12p11.22d	694	0.0	0.0
L1FLnI_12p12.1w	9142	0.0	0.0
L1FLnI_12p11.23d	10511	0.0	0.0
L1FLnI_12p11.23c	10206	0.0	0.0
ERV316A3_12p11.23b	748	0.0	0.0
ERV316A3_12p11.23a	684	0.0	0.0
ERVLE_12p11.23	741	0.0	0.0
HERVL_12p11.23	6528	0.0	0.0
MER41_12p11.23a	4888	0.0	0.0
L1FLnI_12p11.23b	10151	0.0	0.0
L1FLnI_12p11.23a	10409	0.0	0.0
ERV316A3_12p12.1c	1907	0.0	0.0
L1FLnI_12p12.1ca	9389	0.0	0.0
ERVLB4_12p12.3d	6012	0.0	0.0
L1FLnI_12p12.1aa	10125	0.0	0.0
L1FLnI_12p12.1z	10019	0.0	0.0
HERVL_12p12.1c	2018	0.0	0.0
ERV316A3_12p12.1b	3180	0.0	0.0
HERVL_12p12.1b	6706	0.0	0.0
HERVH_12p12.1b	6299	0.0	0.0
MER41_12p12.1b	5246	0.0	0.0
HERVL40_12p12.1c	1787	0.0	0.0
HERVL40_12p12.1b	1957	0.0	0.0
L1FLnI_12p12.1y	10101	0.0	0.0
L1FLnI_12p12.1x	9528	0.0	0.0
HERVH_12p12.1a	5737	0.0	0.0
ERV316A3_12p11.23c	1230	0.0	0.0
MER41_12p11.23b	1305	0.0	0.0
L1FLnI_12p11.22j	10023	0.0	0.0
L1FLnI_12p11.23e	10135	0.0	0.0
ERVLE_12p11.22c	694	0.0	0.0
L1FLnI_12p11.22i	10161	0.0	0.0
L1FLnI_12p11.22h	9845	0.0	0.0
ERVLB4_12p11.22c	2412	0.0	0.0
LTR25_12p11.22b	4342	0.0	0.0
HERVH_12p11.22a	5859	0.0	0.0
LTR25_12p11.22a	783	0.0	0.0
L1FLnI_12p11.22g	8652	0.0	0.0
ERVLB4_12p11.22b	1823	0.0	0.0
HERVL18_12p11.22	5340	0.0	0.0
HERV4_12p11.22	1164	0.0	0.0
L1FLnI_12p11.22f	8935	0.0	0.0
ERVLE_12p11.22b	603	0.0	0.0
L1FLnI_12p11.22e	8562	0.0	0.0
L1FLnI_12p11.22d	8813	0.0	0.0
L1FLnI_12p11.22c	8542	0.0	0.0
ERV316A3_12p11.22b	1259	0.0	0.0
ERVL_12p11.22	1477	0.0	0.0
L1FLnI_12p11.22b	11139	0.0	0.0
ERVLB4_12p11.22a	2430	0.0	0.0
ERV316A3_12p11.22a	1997	0.0	0.0
ERVLE_12p11.22a	1019	0.0	0.0
L1FLnI_12p11.22a	9084	0.0	0.0
L1FLnI_12p12.3x	10353	0.0	0.0
L1FLnI_11p11.2l	9375	0.0	0.0
L1FLnI_12p12.3w	9606	0.0	0.0
ERVLB4_12p13.31f	604	0.0	0.0
HERVS71_12p13.31a	7427	0.0	0.0
L1FLnI_12p13.31i	10113	0.0	0.0
HERVH_12p13.31b	3471	0.0	0.0
HERVE_12p13.31a	8319	0.0	0.0
HERVH_12p13.31a	2198	0.0	0.0
L1FLnI_12p13.31h	8659	0.0	0.0
ERVLB4_12p13.31d	1120	0.0	0.0
HERVL_12p13.31b	5195	0.0	0.0
HUERSP3_12p13.31	4158	0.0	0.0
HERVP71A_12p13.31b	4806	0.0	0.0
L1FLnI_12p13.31g	10411	0.0	0.0
HERVP71A_12p13.31a	3529	0.0	0.0
L1FLnI_12p13.31f	8616	0.0	0.0
MER101_12p13.31a	1466	0.0	0.0
L1FLnI_12p13.31e	8967	0.0	0.0
L1FLnI_12p13.31d	10321	0.0	0.0
L1FLnI_12p13.31c	10160	0.0	0.0
ERVLB4_12p13.31c	1471	0.0	0.0
L1FLnI_12p13.31b	9100	0.0	0.0
MER4_12p13.31b	1907	0.0	0.0
MER4B_12p13.31b	6551	0.0	0.0
MER4B_12p13.31a	1684	0.0	0.0
L1FLnI_12p13.31a	10131	0.0	0.0
ERVLB4_12p13.31e	601	0.0	0.0
HERVE_12p13.31b	4058	0.0	0.0
HERVW_12p13.31a	4928	0.0	0.0
HERVE_12p13.31c	1831	0.0	0.0
MER61_12p13.31c	1428	0.0	0.0
HERVI_12p13.31	8709	0.0	0.0
MER61_12p13.31b	3455	0.0	0.0
ERVLE_12p13.31d	794	0.0	0.0
L1FLnI_12p13.31p	8867	0.0	0.0
HERVH_12p13.31d	2255	0.0	0.0
ERVLE_12p13.31c	902	0.0	0.0
HERVEA_12p13.31	2518	0.0	0.0
HUERSP2_12p13.31	3745	0.0	0.0
MER101_12p13.31b	2701	0.0	0.0
MER61_12p13.31a	4745	0.0	0.0
L1FLnI_12p13.31o	10087	0.0	0.0
L1FLnI_12p13.31n	8752	0.0	0.0
L1FLnI_12p13.31m	10020	0.0	0.0
L1FLnI_12p13.31l	10042	0.0	0.0
PABLB_12p13.31	2462	0.0	0.0
HERVS71_12p13.31b	4863	0.0	0.0
L1FLnI_12p13.31k	10466	0.0	0.0
LTR19_12p13.31	5212	0.0	0.0
HERVH_12p13.31c	5693	0.0	0.0
HERVW_12p13.31b	7055	0.0	0.0
HML5_12p13.31	4020	0.0	0.0
L1FLnI_12p13.31j	9347	0.0	0.0
ERVLE_12p13.31b	1205	0.0	0.0
ERVLB4_12p13.31b	3303	0.0	0.0
L1FLnI_12p12.3v	8880	0.0	0.0
L1FLnI_12p13.33a	9682	0.0	0.0
HERVP71A_12p13.33a	1763	0.0	0.0
ERV316A3_11q25f	1072	0.0	0.0
ERV316A3_11q25e	1315	0.0	0.0
ERVLE_11q25b	577	0.0	0.0
ERV316A3_11q25d	2061	0.0	0.0
L1FLnI_11q25r	9360	0.0	0.0
L1FLnI_11q25q	9376	0.0	0.0
L1FLnI_11q25p	9286	0.0	0.0
L1FLnI_11q25o	10585	0.0	0.0
L1FLnI_11q25n	10601	0.0	0.0
ERVLB4_11q25b	4852	0.0	0.0
L1FLnI_11q25m	8588	0.0	0.0
L1FLnI_11q25l	10024	0.0	0.0
HERVH_11q25b	5912	0.0	0.0
ERV316A3_11q25c	771	0.0	0.0
ERVL_11q25	5076	0.0	0.0
L1FLnI_11q25k	10496	0.0	0.0
ERV316A3_11q25b	2896	0.0	0.0
L1FLnI_11q25j	9350	0.0	0.0
L1FLnI_11q25i	10041	0.0	0.0
L1FLnI_11q25h	10059	0.0	0.0
ERVLE_11q25a	1882	0.0	0.0
L1FLnI_11q25g	10144	0.0	0.0
HERVP71A_12p13.33b	1636	0.0	0.0
L1FLnI_12p13.33b	10111	0.0	0.0
MER4_12p13.31a	1536	0.0	0.0
L1FLnI_12p13.33c	10105	0.0	0.0
ERVLB4_12p13.31a	696	0.0	0.0
ERVLE_12p13.31a	1024	0.0	0.0
HERVL_12p13.31a	5827	0.0	0.0
MER34B_12p13.31	2176	0.0	0.0
L1FLnI_12p13.32j	10017	0.0	0.0
ERVLE_12p13.32	1160	0.0	0.0
ERVLB4_12p13.32	6448	0.0	0.0
L1FLnI_12p13.32i	10001	0.0	0.0
L1FLnI_12p13.32h	8815	0.0	0.0
L1FLnI_12p13.32g	10346	0.0	0.0
L1FLnI_12p13.32f	10005	0.0	0.0
L1FLnI_12p13.32e	9385	0.0	0.0
HERVH_12p13.32	5149	0.0	0.0
L1FLnI_12p13.32d	10142	0.0	0.0
L1FLnI_12p13.32c	9021	0.0	0.0
HERVP71A_12p13.32	6050	0.0	0.0
L1FLnI_12p13.32b	10032	0.0	0.0
HARLEQUIN_12p13.32	8061	0.0	0.0
L1FLnI_12p13.32a	10018	0.0	0.0
ERVLE_12p13.33	2522	0.0	0.0
L1FLnI_12p13.33e	10144	0.0	0.0
L1FLnI_12p13.33d	10017	0.0	0.0
ERV316A3_12p13.33	1971	0.0	0.0
HERVH_12p13.31e	6250	0.0	0.0
MER4B_12p13.31c	2540	0.0	0.0
HERVL40_12p13.2a	569	0.0	0.0
ERVLE_12p12.3d	501	0.0	0.0
L1FLnI_12p12.3m	9033	0.0	0.0
L1FLnI_12p12.3l	9680	0.0	0.0
HERVE_12p12.3	7935	0.0	0.0
L1FLnI_12p12.3k	8683	0.0	0.0
HERVH_12p12.3b	5461	0.0	0.0
L1FLnI_12p12.3j	10150	0.0	0.0
L1FLnI_12p12.3i	8542	0.0	0.0
L1FLnI_12p12.3h	8529	0.0	0.0
ERV316A3_12p12.3c	3829	0.0	0.0
ERV316A3_12p12.3b	1853	0.0	0.0
L1FLnI_12p12.3g	10146	0.0	0.0
ERVLE_12p12.3c	2327	0.0	0.0
L1FLnI_12p12.3f	10107	0.0	0.0
L1FLnI_12p12.3e	10131	0.0	0.0
ERVLE_12p12.3b	2649	0.0	0.0
ERVLE_12p12.3a	695	0.0	0.0
L1FLnI_12p12.3d	9449	0.0	0.0
L1FLnI_12p12.3c	9541	0.0	0.0
HUERSP1_12p12.3c	2424	0.0	0.0
HUERSP1_12p12.3b	2802	0.0	0.0
HUERSP1_12p12.3a	2291	0.0	0.0
L1FLnI_12p12.3b	9266	0.0	0.0
ERVLB4_12p12.3a	1902	0.0	0.0
ERVLB4_12p12.3b	690	0.0	0.0
HERVH_12p12.3c	4348	0.0	0.0
HERVH_12p13.2a	5663	0.0	0.0
PRIMA41_12p12.3	5327	0.0	0.0
HUERSP2_12p12.3	4594	0.0	0.0
HERVH_12p12.3e	8065	0.0	0.0
HERVIP10FH_12p12.3	5860	0.0	0.0
PRIMA4_12p12.3	1716	0.0	0.0
ERVLE_12p12.3g	777	0.0	0.0
ERV316A3_12p12.3d	415	0.0	0.0
L1FLnI_11p11.2i	10127	0.0	0.0
HML1_12p12.3b	1145	0.0	0.0
HERVW_12p12.3	2633	0.0	0.0
HML1_12p12.3a	1111	0.0	0.0
HERV9_12p12.3	7964	0.0	0.0
L1FLnI_12p12.3u	10114	0.0	0.0
L1FLnI_12p11.1n	10097	0.0	0.0
L1FLnI_12p12.3t	10379	0.0	0.0
ERVLB4_12p12.3c	1347	0.0	0.0
L1FLnI_12p12.3s	9996	0.0	0.0
L1FLnI_12p12.3r	10028	0.0	0.0
ERVLE_12p12.3e	1044	0.0	0.0
HERVH_12p12.3d	4761	0.0	0.0
L1FLnI_12p12.3q	9615	0.0	0.0
L1FLnI_12p12.3p	10165	0.0	0.0
L1FLnI_12p12.3o	10123	0.0	0.0
L1FLnI_12p12.3n	9800	0.0	0.0
ERV316A3_12p12.3a	908	0.0	0.0
L1FLnI_12p12.3a	9797	0.0	0.0
HERVH_12p12.3a	5190	0.0	0.0
HERVL_12p13.1c	12001	0.0	0.0
L1FLnI_12p13.2i	9534	0.0	0.0
L1FLnI_12p13.2h	10028	0.0	0.0
L1FLnI_12p13.2g	10124	0.0	0.0
L1FLnI_12p13.2f	9745	0.0	0.0
L1FLnI_12p13.2e	9104	0.0	0.0
ERVLE_12p13.2c	962	0.0	0.0
ERVLE_12p13.2b	1046	0.0	0.0
L1FLnI_12p13.2d	10293	0.0	0.0
ERVLB4_12p13.2e	1189	0.0	0.0
HERVL_12p13.2b	882	0.0	0.0
ERVLB4_12p13.2d	1166	0.0	0.0
ERVLB4_12p13.2c	1236	0.0	0.0
HERVL_12p13.2a	898	0.0	0.0
ERVL_12p13.2	1568	0.0	0.0
ERVLE_12p13.2a	1509	0.0	0.0
ERVLB4_12p13.2b	936	0.0	0.0
ERVLB4_12p13.2a	5497	0.0	0.0
MER41_12p13.2	6570	0.0	0.0
L1FLnI_12p13.2c	10453	0.0	0.0
HERVIP10F_12p13.2	3226	0.0	0.0
HERVIP10FH_12p13.2	1192	0.0	0.0
L1FLnI_12p13.2b	9394	0.0	0.0
L1FLnI_12p13.2a	9407	0.0	0.0
L1FLnI_12p13.2j	10136	0.0	0.0
HERVL40_12p13.2b	570	0.0	0.0
L1FLnI_12p13.2k	10120	0.0	0.0
L1FLnI_12p13.1e	8921	0.0	0.0
ERVLE_12p13.1b	1557	0.0	0.0
HERVL_12p13.1b	6495	0.0	0.0
HERVL_12p13.1a	6506	0.0	0.0
HERVH_12p13.1b	5631	0.0	0.0
ERVLE_12p13.1a	1472	0.0	0.0
HERVW_12p13.1	4349	0.0	0.0
ERV316A3_12p13.1	1195	0.0	0.0
L1FLnI_12p13.1h	8540	0.0	0.0
L1FLnI_12p13.1g	9501	0.0	0.0
L1FLnI_12p13.1f	10440	0.0	0.0
L1FLnI_12p13.1d	9400	0.0	0.0
L1FLnI_12p13.2l	9930	0.0	0.0
L1FLnI_12p13.1c	10170	0.0	0.0
L1FLnI_12p13.1b	10025	0.0	0.0
L1FLnI_12p13.1a	10057	0.0	0.0
HERVH_12p13.1a	5876	0.0	0.0
ERVLB4_12p13.1	6089	0.0	0.0
HERVH_12p13.2d	5597	0.0	0.0
L1FLnI_12p13.2m	10166	0.0	0.0
ERVLE_12p13.2d	3428	0.0	0.0
HERVH_12p13.2c	5523	0.0	0.0
HERVH_12p13.2b	5847	0.0	0.0
ERVLE_12p12.3f	1329	0.0	0.0
L1FLnI_12q11a	10030	0.0	0.0
HERVW_12p11.1	2835	0.0	0.0
L1FLnI_12q14.1ba	9319	0.0	0.0
L1FLnI_12q14.1ia	10028	0.0	0.0
L1FLnI_12q14.1ha	10494	0.0	0.0
L1FLnI_12q14.1ga	9227	0.0	0.0
MER61_12q14.1b	5945	0.0	0.0
L1FLnI_12q14.1fa	8802	0.0	0.0
HERVH_12q14.1d	5807	0.0	0.0
ERVLE_12q14.1e	2262	0.0	0.0
L1FLnI_12q14.1ea	10136	0.0	0.0
L1FLnI_12q14.1da	10124	0.0	0.0
L1FLnI_12q14.1ca	10132	0.0	0.0
HERVL_12q14.1e	4113	0.0	0.0
HUERSP3_12q14.1b	1632	0.0	0.0
ERV316A3_12q14.3a	785	0.0	0.0
ERVLE_12q14.1d	1272	0.0	0.0
HERVL_12q14.1d	3310	0.0	0.0
HERVH_12q14.1c	6350	0.0	0.0
ERVLB4_12q14.1b	924	0.0	0.0
L1FLnI_12q14.1aa	8516	0.0	0.0
L1FLnI_12q14.1z	8529	0.0	0.0
ERV316A3_12q14.1c	2503	0.0	0.0
L1FLnI_12q14.1y	9422	0.0	0.0
L1FLnI_12q14.1x	10172	0.0	0.0
HUERSP3_12q14.1a	6042	0.0	0.0
HERVL_12q14.1c	2274	0.0	0.0
L1FLnI_12q14.1ja	10016	0.0	0.0
L1FLnI_12q14.1ka	10454	0.0	0.0
ERV316A3_12q14.1d	1838	0.0	0.0
ERV316A3_12q14.1e	1717	0.0	0.0
MER61_12q14.2	3454	0.0	0.0
HERVL_12q14.2b	6557	0.0	0.0
L1FLnI_12q14.2l	10027	0.0	0.0
L1FLI_12q14.2	8048	0.0	0.0
HERVL_12q14.2a	6470	0.0	0.0
L1FLnI_12q14.2k	10034	0.0	0.0
L1FLnI_12q14.2j	10137	0.0	0.0
L1FLnI_12q14.2i	10544	0.0	0.0
L1FLnI_12q14.2h	9718	0.0	0.0
PRIMA4_12q14.2	3750	0.0	0.0
HERVL18_12q14.2	2365	0.0	0.0
ERVLB4_12q14.2	1015	0.0	0.0
L1FLnI_12q14.2g	8861	0.0	0.0
L1FLnI_12q14.2f	10120	0.0	0.0
L1FLnI_12q14.2e	10398	0.0	0.0
L1FLnI_12q14.2d	10116	0.0	0.0
L1FLnI_12q14.2c	10118	0.0	0.0
L1FLnI_12q14.2b	10122	0.0	0.0
ERVLE_12q14.2	2486	0.0	0.0
L1FLnI_12q14.2a	10092	0.0	0.0
HERVH_12q14.2	1991	0.0	0.0
L1FLnI_12q14.1ma	10384	0.0	0.0
L1FLnI_12q14.1la	9993	0.0	0.0
L1FLnI_12q14.1w	11160	0.0	0.0
MER61_12q14.1a	3707	0.0	0.0
HERVFRD_12q14.1	6476	0.0	0.0
L1FLnI_12q14.1h	10147	0.0	0.0
MER41_12q14.1	1616	0.0	0.0
L1FLnI_12q14.1f	10148	0.0	0.0
ERVL_12q14.1b	2995	0.0	0.0
ERVL_12q14.1a	2663	0.0	0.0
L1FLnI_12q14.1e	10048	0.0	0.0
ERVLE_12q14.1a	2069	0.0	0.0
L1FLnI_12q14.1d	10027	0.0	0.0
L1FLnI_12q14.1c	10043	0.0	0.0
L1FLnI_12q14.1b	10140	0.0	0.0
L1FLnI_12q14.1a	10479	0.0	0.0
MER4_12q13.3b	2698	0.0	0.0
L1FLI_12q13.3	8036	0.0	0.0
MER4_12q13.3a	2758	0.0	0.0
HERVW_12q13.3	1523	0.0	0.0
L1FLnI_12q13.3d	8551	0.0	0.0
L1FLnI_12q13.3c	8558	0.0	0.0
L1FLnI_12q13.3b	10124	0.0	0.0
L1FLnI_11p11.2g	10144	0.0	0.0
L1FLnI_12q13.3a	9695	0.0	0.0
MER101_12q13.3	4062	0.0	0.0
HERVFRD_12q13.3	5650	0.0	0.0
HML4_12q13.3	3314	0.0	0.0
LTR19_12q13.3	1299	0.0	0.0
L1FLnI_12q14.1g	8921	0.0	0.0
ERV316A3_12q14.1a	1285	0.0	0.0
L1FLnI_12q14.1v	10386	0.0	0.0
L1FLnI_12q14.1i	8506	0.0	0.0
ERVLB4_12q14.1a	606	0.0	0.0
L1FLnI_12q14.1u	9927	0.0	0.0
L1FLnI_12q14.1t	9956	0.0	0.0
ERVLE_12q14.1c	1626	0.0	0.0
ERVLE_12q14.1b	703	0.0	0.0
L1FLnI_12q14.1s	9078	0.0	0.0
L1FLnI_12q14.1r	10554	0.0	0.0
L1FLnI_12q14.1q	10153	0.0	0.0
ERV316A3_12q14.1b	2289	0.0	0.0
HERVL_12q14.1b	3466	0.0	0.0
HERVL_12q14.1a	1618	0.0	0.0
HERV9_12q14.1	4807	0.0	0.0
L1FLnI_12q14.1p	9275	0.0	0.0
HERVL40_12q14.1	1161	0.0	0.0
L1FLnI_12q14.1o	10459	0.0	0.0
L1FLnI_12q14.1n	10449	0.0	0.0
HERVH_12q14.1b	5794	0.0	0.0
L1FLnI_12q14.1m	10450	0.0	0.0
L1FLnI_12q14.1l	8767	0.0	0.0
HERVH_12q14.1a	5434	0.0	0.0
